,s1,s2,score_gold,rank_gold,score_WRD,rank_WRD,score_COS,rank_COS,score_ROTS4,rank_ROTS4,score_ROTSmean,rank_ROTSmean,SCORE_SELECTION,RANK_SELECTION
80,a man is opening a box and taking out paper .,a woman is peeling a potato .,0,5,0.127759142,39,0.008881323,12,0.03210632,12,0.020303686,12,0.072427826,27
662,there are two ways to start with : plunging and dripping .,there are two traditional ways to bend wood :,0,61,0.289077925,179,0.155224697,74,0.185941375,79,0.167891269,73,0.072419873,95
769,this is a great one ...,this is a difficult one .,1,274,0.317924902,230,0.220452562,111,0.233070739,101,0.226521682,107,0.072235986,-139
688,"my answer to your question is "" probably not "" .",i think that the short answer to your question is : no .,4,1087,0.623514757,922,0.828788803,1134,0.866876304,938,0.845886371,1047,0.071521437,-86
325,"a man sitting cross legged on the grass , with a tree in the background .",ocean liner close to coast with houses in the background .,0,35,0.177533854,63,0.061847862,25,0.084048049,30,0.070922364,26,0.071285618,28
627,there 's also what the string is made of .,there is also a youtube-version of the film .,0,54,0.189646932,74,0.078384184,34,0.09895778,34,0.089506158,33,0.070115555,0
185,a man is playing a piano .,a guy is peeling a potato .,0,14,0.195335,76,0.094868952,39,0.110325003,38,0.10251463,39,0.069553946,39
988,the cradle of liberty council isn 't the first one to buck the national group 's stance .,philadelphia 's council is not the first to defy the national policy .,3.4,880,0.310426399,210,0.305836475,171,0.342790259,175,0.319898039,172,0.069317644,-31
889,local police authorities are treating the explosion as a criminal matter and nothing has been ruled out .,acting new haven police chief francisco ortiz said police were treating the explosion as a criminal matter .,3.4,872,0.487531665,559,0.658830213,696,0.752359476,708,0.695667216,695,0.068919171,161
802,i think it is great that you had a test conducted .,i think that 's a great plan .,2,504,0.363767259,292,0.349887476,211,0.409253645,225,0.374770951,221,0.067837974,-53
237,a man is smoking .,a baby is sucking on a pacifier .,0,23,0.070746781,12,-0.009855367,9,-0.006531294,9,-0.008242209,9,0.067539561,-3
432,two people are in bed .,two boxers are in the ring .,0,45,0.126405186,37,0.044022984,20,0.052529077,18,0.04816365,19,0.065370015,-21
32,a woman is wrapping tofu .,a woman is balling dough .,1.4,349,0.342520824,266,0.248309206,126,0.295124915,140,0.271460971,135,0.063961788,-112
230,a man reels in a fish .,a woman is pouring oil in a bowl .,0,21,0.166042759,57,0.070172614,29,0.08615688,31,0.078055212,31,0.063901613,24
307,parrot pushing a small shopping cart .,a white bird is steering a shopping cart .,3.4,855,0.54534688,717,0.64966227,670,0.731435624,660,0.684457696,660,0.062119602,-67
1330,two french journalists killed after mali kidnapping,"two french journalists abducted , killed in northern mali",4.6,1247,0.749794759,1206,0.845908064,1170,1.011104006,1216,0.918678134,1198,0.062089165,56
77,a woman is swimming underwater .,a man is slicing some carrots .,0,4,0.146011512,48,0.04158219,18,0.062959194,22,0.05216138,21,0.061675314,22
784,i have the same thing .,i had the same problem as you .,3,749,0.444934454,439,0.592854025,523,0.650586901,492,0.618064719,505,0.061037718,22
445,a brown and white dog is running across a brown field .,a person hanging from a rocky cliff .,0,47,0.069765615,11,0.002751146,10,0.006082352,10,0.004243089,10,0.060352057,-1
64,a person is playing an electronic keyboard .,a kid is playing keyboard .,3.4,847,0.535560209,689,0.647403121,660,0.738481053,673,0.690998561,676,0.060074564,-3
156,a person is playing a piano .,a person is slicing a potato .,0.5,180,0.252063073,133,0.118490253,49,0.155310642,62,0.136677422,57,0.059932042,-58
215,a man is kicking pots of water .,a man is turning foods .,1.333,346,0.232997415,115,0.191434846,91,0.241829325,107,0.21626194,97,0.059226389,8
852,there are three options :,there are only three options :,5,1349,0.832498706,1311,0.957625657,1351,1.075763328,1302,1.013900813,1331,0.058348981,-54
35,a man is playing a guitar .,a man is eating pasta .,0.533,185,0.292489292,184,0.15922957,76,0.19738193,82,0.178023786,80,0.056955002,-96
679,you are not disclosing key info .,no you are not .,2,475,0.188436781,73,0.182414881,88,0.213810093,88,0.197876972,89,0.056768524,15
407,"a young boy jumping into a pool that says "" no diving "" .",a boy jumps into a pool while lifeguards watch .,3.2,806,0.503025053,606,0.598807353,539,0.700865529,608,0.645353303,570,0.056436537,71
477,a tan girl in a floral bikini is swimming in dark blue waters .,a little girl in a flowered bathingsuit runs through the sand at the beach,2.2,546,0.303863131,204,0.474225952,322,0.497126646,300,0.4827157,304,0.056109529,74
207,a man is playing the drums .,a woman is slicing some leaves .,0,17,0.172416306,60,0.07459399,32,0.096291936,33,0.08528714,32,0.054426424,26
241,a chimp is kicking a target .,a woman is putting oil into a skillet .,0,24,0.061315909,8,-0.013306848,8,-0.010423547,8,-0.011940176,8,0.053775663,0
1321,bomber strikes near pakistan army hq,bombing outside restaurant in pakistan wounds 15,3,788,0.291913692,182,0.276935323,147,0.31123644,150,0.288931053,144,0.053623866,-29
68,a man is playing a guitar .,a woman is riding a horse .,0.5,179,0.214028005,95,0.12519148,54,0.142908553,54,0.13393561,53,0.053402379,-41
228,a person is boiling noodles .,a cat is licking a bottle .,0,20,0.062753657,10,-0.018567085,7,-0.015218729,7,-0.016922429,7,0.050883284,-3
240,the man is exercising .,a man is doing pull-ups .,3.2,801,0.220288255,103,0.205513441,98,0.238114469,103,0.221598397,102,0.050427241,5
455,a female dj holds up a michael jackson album .,a girl holding a picture of michael jackson smiling,3,722,0.434149009,416,0.391162662,245,0.437779099,253,0.41116009,249,0.050246527,-155
629,i did this one time as well .,i have this habit as well .,2,466,0.411834413,366,0.344307449,207,0.390787483,212,0.365117975,208,0.049101931,-149
189,a person is riding a motorcyle .,a person is chopping an onion .,0.4,152,0.226182978,106,0.118246756,48,0.147888369,55,0.132827999,51,0.048652996,-44
655,have you tried asking your employees ?,have you tried asking ?,4,1083,0.614977471,907,0.727975593,860,0.904265604,1026,0.811531154,950,0.048515729,285
318,a man dressed in a pale scarf with a stick .,a runner is resting in the shade with a bottle of soda .,0,33,0.098070782,18,0.03984387,16,0.045226784,15,0.042277181,15,0.047461083,-4
1133,berri says ready to help launch national unity government,the perception of spain has changed dramatically with this government,0.4,166,0.146763363,49,0.04433078,21,0.051281743,17,0.047337893,18,0.044996069,-36
216,two little girls talk on the telephone .,two couple are talking with each other .,1.2,313,0.165988555,56,0.241501461,123,0.255305573,111,0.248181615,119,0.044901761,43
118,a woman is slicing ginger .,a person is holding two baby lorises .,0,11,0.119076756,28,0.061397257,24,0.068219754,23,0.064628371,24,0.044034504,6
1147,iraq searches syria bound iran plane : officials,iraq searches syrian-bound iranian plane,4.2,1171,0.721587267,1151,0.771692186,974,0.911443825,1039,0.828712854,993,0.043832896,-47
108,a woman pours a mixture into a bowl and mixes it .,a woman is preparing an egg in a skillet .,1.25,338,0.204812042,85,0.181127276,87,0.214350064,90,0.19733887,87,0.042760811,8
261,a bicycle is parked by a shop .,a bicycle is parked outside a bookstore .,4,1050,0.633498499,952,0.764035628,957,0.880054094,972,0.821193451,975,0.042357684,35
121,a woman is spreading mustard on a bread roll .,a kitten is playing with a woman 's finger .,0,12,0.186659999,70,0.097961805,40,0.12156486,43,0.107495003,42,0.041492084,24
644,"you just have to base your answer on what you do know , which is what you want .","it depends on what you want to do next , and where you want to do it .",1,257,0.471706011,507,0.761652776,951,0.596297721,410,0.694486292,691,0.040763345,638
259,the flock of sheep are spread out in the field .,a white cat stands on the floor .,0,30,0.090488371,15,0.041880176,19,0.045956359,16,0.043891629,16,0.040455827,-2
647,unfortunately the answer to your question is we simply do not know .,"sorry , i don 't know the answer to your question .",4,1079,0.621153706,917,0.793109469,1042,0.873241971,955,0.830960431,999,0.039252883,-49
811,it is more deciding what you should do and what you should get others to do .,point is : know what you want and don 't be afraid to ask for it .,0,87,0.31322844,217,0.5172473,372,0.396680193,216,0.494446989,323,0.037115354,157
545,some guy sitting on a couch watching television .,a guy is sitting on the couch watching tv,5,1306,0.873760062,1340,0.963523306,1353,1.063178433,1286,1.00864069,1322,0.036359767,41
225,a woman is frying ground meat .,a man is cutting a trunk with an axe .,0.5,183,0.14567703,47,0.094232707,38,0.107790679,37,0.100821121,37,0.035862965,-11
248,two men are dancing together .,a woman opens a closet .,0,28,0.124862182,34,0.068845033,28,0.078943225,29,0.073845845,29,0.035820766,4
239,a man is erasing a chalk board .,"a woman is dancing , and singing .",0.364,145,0.156210318,51,0.083636561,35,0.102014699,35,0.092672305,35,0.035817483,-16
271,a man sitting in a back yard playing the guitar .,a man riding on the back of an orange suv .,0,31,0.271659937,156,0.170654184,79,0.203616234,83,0.18496828,83,0.035081653,69
680,"it depends on what you want to do next , and where you want to do it .",i guess it depends on what you 're going to do .,3,733,0.545912935,719,0.745010393,901,0.517471598,310,0.685301348,663,0.034040654,-664
881,governor gray davis estimated yesterday that the fires could cost nearly $ 2 billion .,state officials estimated the cost at nearly $ 2 billion .,3.5,903,0.484313719,552,0.689407319,776,0.79698444,804,0.737767166,795,0.032310082,280
328,a tan puppy on a carpeted floor .,tan puppy lying down on white carpeting .,3.8,1000,0.560751701,761,0.743918297,894,0.85200899,906,0.792159865,913,0.031312021,157
243,the girl is carrying a baby .,a man is eating a food .,0,26,0.102741667,19,0.066843718,26,0.069450993,24,0.068098507,25,0.030683399,3
220,a man is singing while playing the guitar .,a man is stuffing himself full with food .,0.5,182,0.209447353,92,0.120006714,50,0.149891062,58,0.134198602,54,0.029671943,-26
430,large group of people standing outside of a building .,a group of people are ice skating in a big city .,2,453,0.310478412,211,0.281496028,151,0.310733926,149,0.293601615,148,0.029493412,-64
278,two indian women with two indian girls near the water .,two indian woman stand with two indian girls on a beach .,4,1053,0.623988142,924,0.791347461,1034,0.878056168,968,0.821091217,974,0.028552061,-22
115,a boy is playing violin on stage .,a person is mixing a pot .,0,10,0.049185408,5,-0.02668535,5,-0.02367879,5,-0.025223487,5,0.028513178,0
1244,mars rover collects first bedrock sample,wawrinka reaches first grand slam final,0,100,0.106257316,21,0.068745798,27,0.074141676,25,0.071045997,27,0.026719761,2
1243,"ten rescued off waterford , dublin coasts",six rescued after boat capsizes in dublin bay,2.6,654,0.411687633,365,0.510840025,365,0.565794372,366,0.53536591,370,0.025883598,2
493,the dogs play in the snow on hind legs .,two dogs play in the snow .,3.8,1007,0.572446936,784,0.708477097,821,0.866949388,939,0.78661669,900,0.02517719,273
61,a train is moving .,a man is doing yoga .,0,0,0.10606573,20,0.07534706,33,0.078507265,28,0.076886712,30,0.02439826,-3
183,a man is doing exercise .,a man is firing a rifle .,0.5,181,0.238850112,122,0.146203149,66,0.180741949,74,0.163218619,71,0.023569363,-40
1151,samsung overtakes nokia in phones,charges over dog attack on police,0,98,0.047314405,3,-0.031039002,4,-0.027825202,4,-0.029632099,4,0.022703003,1
1280,storm buries northeast ; 16 inches of snow in nj,"forum urges stable relations for china , japan",0,103,0.061924156,9,0.03576058,14,0.038278071,13,0.036892216,13,0.021128594,3
349,the cat is sitting on a bag of cat food .,two eagles sitting on a long branch .,0.4,159,0.194106307,75,0.125667892,55,0.149361692,56,0.135446628,56,0.021050814,-18
100,a cat is walking around a house .,a woman is peeling potato .,0,7,0.051464516,6,-0.039233616,2,-0.035145457,2,-0.037230924,2,0.020407219,-4
1090,veteran stage and screen actor hume cronyn died of cancer sunday .,"character actor hume cronyn , 91 , died sunday at his home in connecticut .",3.5,918,0.550238424,731,0.638899365,641,0.795425248,801,0.711168124,735,0.020011714,230
700,you are on the right path .,you are right on the mark .,4,1090,0.573705802,786,0.474857205,324,0.533796932,327,0.500413122,329,0.019030857,-456
260,two dogs and one cat sitting on couch .,two dogs and a cat resting on a couch .,4.6,1225,0.792344196,1267,0.875207751,1232,0.996767449,1192,0.930007677,1211,0.018913156,-17
1373,editors from around the world urge turkey to protect media,media freedom at stake as turkey fights rebels,2,533,0.344568175,269,0.372361653,231,0.433120912,247,0.397442638,237,0.016828347,-6
535,a woman is about to paint .,a boy is about to take a picture .,1,252,0.282112593,168,0.212049641,104,0.238910367,104,0.223273716,105,0.016341499,-64
1197,london 2012 olympics opening ceremony ' to feature a green and pleasant land',"london 2012 olympics : opening ceremony to be a ' green and pleasant land ' , says danny boyle",4.2,1172,0.702509367,1100,0.787124951,1015,0.927710647,1078,0.836067033,1021,0.014944388,41
201,a woman is folding paper .,a woman is applying eye shadow .,0.4,155,0.229958774,112,0.113517236,45,0.164333264,66,0.138437747,59,0.014809482,-25
1319,5 nations meet on haze,putin 's marriage at an end,0,105,0.056910369,7,0.037072079,15,0.039945679,14,0.038417854,14,0.01409109,6
876,the answer to both questions is : yes .,"if the answer to any of these questions is yes , a phd may be worthwhile for you .",3,756,0.419348627,384,0.686677677,771,0.726749629,653,0.702371606,709,0.013829793,181
658,there are two things to consider :,there are two possible causes for this :,4,1084,0.333546329,252,0.287034863,155,0.317026922,154,0.301124792,156,0.013472652,-99
462,a young pitcher is throwing the baseball .,a brown dog is walking on the grass beside a fence .,0,52,0.092448058,16,0.072277713,30,0.075717278,26,0.073841427,28,0.013291217,6
816,primer / paint will not work .,nope that will not work .,2,508,0.316005082,227,0.227399087,114,0.278343939,126,0.252339843,120,0.013283709,-89
236,a person is adding food in a pan .,a man is dancing in the street .,0.188,114,0.114823113,26,0.088513277,36,0.095186728,32,0.091793019,34,0.012962935,2
396,three dolphins are jumping out of a pool in front of a crowd of people .,a man is giving a presentation in front of a lot of people .,0.6,192,0.245293665,125,0.21161707,103,0.222542365,96,0.21754089,101,0.011826005,-36
375,older gentleman looking at red motorcycle .,a man looking at a red motorcycle .,4,1061,0.645642322,978,0.774102872,981,0.884728195,983,0.820601887,973,0.010798417,7
149,a man is praying .,a man is dancing .,0.75,208,0.452557794,461,0.314530301,179,0.378972145,203,0.346616144,194,0.009143805,272
1173,coroner : whitney houston died in bathtub,coroner confirms whitney houston found in bathtub,4.5,1221,0.746662189,1194,0.865901766,1213,0.989427763,1180,0.911210245,1182,0.008580519,-47
411,two boys playing a game of flag football .,two boys are playing flag football .,5,1300,0.851666579,1328,0.953270586,1350,1.093625143,1321,1.01665239,1332,0.007812549,36
951,"the a920 comes with a printer , scanner , and copier for $ 89 .","dell 's personal all-in-one a920 is an entry-level device that combines printer , scanner and copier functions for $ 89 .",3.6,944,0.518506698,639,0.81570081,1106,0.86501292,928,0.837284178,1023,0.007168272,435
187,a woman is dancing near a fire .,a woman is cutting a tomatoe .,0.308,143,0.272698578,160,0.175541849,85,0.220668833,95,0.197653199,88,0.006902762,-21
1362,tycoon claims win in ukraine and promises to seek future in eu,polling stations open at ukrainian presidential election,0,106,0.136984812,44,0.100168336,42,0.115718145,41,0.106324228,41,0.005716859,-4
72,a woman opens a window .,a man is crawling .,0,2,0.180789717,65,0.152134092,71,0.163980347,65,0.158003246,69,0.004963115,6
120,a man is preparing a snake for cooking .,the man is dropping sliced cucumbers into water .,1,245,0.181395942,67,0.123802053,53,0.154988169,61,0.138865288,60,0.004778344,2
195,a panda bear is chewing on a stick .,a baby panda plays with a stick .,3,710,0.48092634,547,0.582840704,501,0.66601917,518,0.622758686,512,0.004194615,-12
652,it 's not a good idea .,it 's a good question .,0,58,0.446153443,441,0.3442999,206,0.393588163,214,0.36497591,207,0.003277016,219
1205,"blizzard hammers u.s. northeast , five dead , 700,000 lose power","blizzard wallops us northeast , closes roads",2.2,561,0.316437217,229,0.465211164,312,0.512759507,307,0.484617246,306,0.003254933,73
453,a little boy and a little girl playing together outside .,a woman wearing a white shirt stands on the street .,0,50,0.147020898,50,0.13148757,58,0.138017538,51,0.133930812,52,0.002473392,6
1254,kardashian divorce ready for trial,hard-hit hotels ready for price war,0,102,0.208707605,91,0.143060984,62,0.174727638,69,0.15704508,65,0.002313312,-15
1327,israel forces kill 2 palestinian militants,israeli army kills palestinian militant in raid,3.2,829,0.49328361,581,0.649526503,668,0.717012941,635,0.680206319,647,0.002217012,21
491,child holding an object that is on fire .,a child in pink holds an object that appears to be on fire .,4,1072,0.615908181,909,0.781606018,1002,0.900310577,1013,0.830622022,997,0.001864646,115
52,a woman is water skiing .,a woman is slicing fish .,0.4,148,0.36350467,291,0.236954389,120,0.299620457,141,0.267445941,130,0.001218144,157
188,a man is making a bed .,a man is speaking to an audience .,0.75,210,0.241912771,123,0.171307615,80,0.20609388,86,0.188285066,84,0.001032626,-31
116,a dog is barking at a toy .,the little dog barked at the electronic toy .,3.75,969,0.583576264,822,0.778878969,994,0.8477934,902,0.808715522,940,-0.000284095,38
682,"it depends on what you want to do next , and where you want to do it .",it depends on what you want to achieve .,3,734,0.646027646,979,0.83586679,1152,0.741204172,679,0.762246757,851,-0.000513908,553
1361,south korean soldier reportedly flees after killing 5 comrades at border with north korea,south korean soldier kills comrades and flees,4,1147,0.613546098,903,0.779272512,995,0.903878521,1025,0.830321523,995,-0.000575652,152
673,i was in a similar situation .,i had a similar situation .,5,1319,0.875828974,1343,0.968346359,1356,1.078247475,1304,1.010204892,1326,-0.000670282,31
406,two racing dogs run in the mud .,the man is going into the water .,0,43,0.10814113,22,0.098344985,41,0.103754244,36,0.100879631,38,-0.001022372,9
1232,malaysia sets may 5 as date for closely contested election,malaysia sets date for landmark elections,3.4,895,0.536992353,693,0.643753274,650,0.770304325,750,0.698145864,696,-0.001354278,157
796,you need to add this to your resume because it is the only position you have had .,this gives you the opportunity to make your case that you really do have expertise in xxx .,2,502,0.294612529,187,0.481604137,333,0.494748514,297,0.485529939,307,-0.002505419,74
45,a man is opening a door .,a man is cutting an onion .,0.8,216,0.297554923,192,0.216196144,110,0.258180595,115,0.236873227,112,-0.002610122,-72
365,a cruise ship is in front of a docking area .,calico cat sitting on step in front of a door .,0,39,0.180831577,66,0.166686048,78,0.175376017,70,0.170430141,75,-0.003234409,4
942,the announcements were made at the international broadcasting convention ( ibc ) in amsterdam .,"the submission was on monday , but the announcement was made friday at the international broadcasting convention in amsterdam .",3.4,876,0.604663375,877,0.665883982,714,0.726364121,650,0.687658526,668,-0.0032756,-289
12,a man is cycling .,a man is talking .,0.6,188,0.360771335,288,0.291200585,159,0.328153102,160,0.309497933,162,-0.004334284,73
28,a man is speaking .,a man is cooking .,0.8,215,0.406358328,360,0.31778247,182,0.364650176,190,0.341032267,187,-0.005159553,128
124,a baby elephant is eating a small tree .,a little girl peddling a scooter .,0,13,0.132628286,42,0.12679857,56,0.132345762,49,0.129295495,49,-0.005264668,0
198,a woman is braiding her hair .,a man is riding a motorcycle .,0,16,0.226373438,107,0.200275167,96,0.216320523,91,0.208181495,93,-0.005992442,21
708,"it depends on what you want to do next , and where you want to do it .",it depends on what you want to be able to do .,3,736,0.687843537,1071,0.871789453,1220,0.782948461,778,0.799532985,924,-0.006263933,735
874,there are two possible causes for this :,there are two options for you -,1,294,0.314371637,223,0.267006581,140,0.294231474,136,0.279833086,139,-0.00708473,-91
242,a man is doing exercise .,a baby is laughing .,0,25,0.049176082,4,-0.063194998,1,-0.059843125,1,-0.06154034,1,-0.007315171,-3
483,three little girls are sitting on the grass .,two poodles are running through the snow .,0.8,230,0.128357766,40,0.105164763,44,0.113025604,40,0.108930482,43,-0.007471321,-4
1296,woman remanded over child 's death a woman has been remanded in custody charged with murder after an eight-year-old girl was found dead in a block of flats .,mother held over daughter 's death a mother has been remanded in custody charged with murder after her eight-year-old daughter was found dead in a block of flats .,4.4,1213,0.786017468,1256,0.83834054,1157,0.951747373,1116,0.882728891,1121,-0.007852754,-95
203,a man is lifting weights .,a man is chopping egg plant .,0.25,138,0.196582737,77,0.160918684,77,0.183312928,76,0.171854153,77,-0.009124436,-2
691,there 's not a lot you can do about that .,there 's not that much that you can do with a sourdough starter .,2,478,0.377655048,310,0.307827017,173,0.33790468,173,0.319428644,171,-0.009672705,-137
30,a turtle is swimming in water .,a turtle is walking underwater .,3.2,795,0.518862084,640,0.653430024,686,0.712331474,627,0.68266856,651,-0.010095008,-72
212,the man is mixing whipping cream .,the man is holding a skunk .,0,18,0.198867681,80,0.158747021,75,0.184345304,77,0.171286025,76,-0.011075906,1
372,two animals sitting on a rock .,the brown train is sitting on the railroad tracks .,0,40,0.218964806,101,0.152780658,72,0.191715039,81,0.169957654,74,-0.011684614,11
1297,red-shirt leader calls not to oppose army,oil rig spat : beijing not to send army,0.6,203,0.197505328,78,0.148699853,70,0.178960311,72,0.161842734,70,-0.011715442,-4
397,the dog is running through a field .,a dog runs through a field .,4.8,1262,0.852665945,1330,0.852649648,1184,1.073204042,1296,0.958831112,1265,-0.011723676,78
222,an okapi is eating from a tree .,a moose drinks from a sprinkler .,0.333,144,0.175987951,62,0.17251997,81,0.180137271,73,0.176009819,79,-0.011766622,3
171,someone is slicing a onion .,someone is carrying a fish .,0.75,209,0.271487164,154,0.201767878,97,0.242512238,108,0.22189269,103,-0.011769434,-35
106,a man is playing guitar .,a boy is talking to a giant dog .,0,8,0.134439744,43,0.135085952,61,0.140830532,52,0.137911871,58,-0.012135369,0
416,a man in a suit dances with a young girl in front of an audience .,a women dangles from a blue fabric connected to a tree .,0.2,121,0.124182842,33,0.123329392,52,0.130562345,46,0.126031819,47,-0.013612455,7
781,"it depends on what you want to do next , and where you want to do it .",it depends on what you want to say / imply .,1,276,0.588590773,835,0.770213731,970,0.686219375,561,0.703252111,711,-0.013634247,683
194,a person is scrubbing a zucchini .,a woman is scrubbing a zucchini with a vegetable brush .,4,1047,0.586626662,832,0.774374642,984,0.926469818,1075,0.848880766,1052,-0.01394094,222
36,a man is kicking pots of water .,a man is picking flowers .,0.4,146,0.26981318,150,0.194260852,93,0.239190122,106,0.216407782,98,-0.014306212,-23
442,a dog standing in the water .,a girl playing on a parachute .,0.4,162,0.079155132,13,0.05753924,23,0.060999543,21,0.058903427,22,-0.014695285,6
586,people walk home,people waiting .,1.6,391,0.163928531,55,0.114766407,46,0.131490852,48,0.123049816,46,-0.015713233,-5
1091,"deirdre hisler , government canyon 's manager , said the state has long had its eye on this piece of property and is eager to complete the deal to obtain it .","deirdre hisler , government canyon 's manager , said the state long has coveted this piece of property , and is eager to complete the deal .",5,1361,0.818137198,1296,0.889841573,1262,1.154627815,1352,1.009539707,1325,-0.0172344,146
924,"hormone replacement therapy that combines estrogen and progestin doubles a woman 's risk of breast cancer , a british study of more than a million women has found .","a major british study has added to the evidence that hormone replacement therapy increases the risk of breast cancer , especially when women receive a combination of estrogen and progestin .",4.25,1184,0.729088702,1167,0.885384535,1253,0.936940827,1094,0.906986146,1173,-0.017585821,-94
75,a woman is filing her nails .,a man is peeling a carrot .,0,3,0.252585773,134,0.207560944,99,0.238996912,105,0.223092857,104,-0.017847107,23
43,a man is playing a guitar .,a man is driving a car .,0.5,178,0.393664569,337,0.316903602,181,0.364394131,189,0.340295672,184,-0.018220091,140
857,"in the us , it will depend on the school .",this will depend on the university .,4,1115,0.627555277,935,0.777890708,992,0.906443565,1029,0.841101352,1029,-0.018333115,131
1298,russia praises idea to render rights assistance to ukraine,russia detains suspected islamist militants in moscow raid,0.4,173,0.185198439,68,0.143631452,63,0.173950191,68,0.157236871,66,-0.019070491,5
355,a women painting a chair with a dining room in the background .,a man and boy walking along a beach with the sea in the background .,0,38,0.266548841,148,0.255162445,129,0.270566679,121,0.260548831,124,-0.019422073,35
221,a boat sails along the water .,the man is playing the guitar .,0,19,0.012274108,0,-0.033280457,3,-0.032562107,3,-0.032952062,3,-0.019569649,3
292,a close-up of a gray cat with green eyes .,a close-up of a cat on a cream sofa .,2.4,582,0.449141485,454,0.45301561,296,0.519089571,312,0.481574197,302,-0.020336238,-126
293,a train is at a train station .,the train sits at the train station .,4.2,1156,0.721686995,1152,0.900155521,1279,0.939722023,1102,0.914226322,1189,-0.020975519,19
200,the woman is slicing tofu .,the woman is putting on lipstick .,0.4,154,0.260370382,141,0.208487719,101,0.24506506,109,0.226565536,108,-0.021272019,-24
622,small child playing with letter p,2 young girls are sitting in front of a bookcase and 1 is reading a book .,0.8,236,0.121385472,30,0.208521135,102,0.214288103,89,0.210836897,94,-0.021440544,46
1043,"four versions of windows operating systems are targeted : windows nt , windows 2000 , windows xp and windows server 2003 .","the new worm affects these windows systems : 2000 , xp , nt 4.0 and server 2003 .",3.6,952,0.573762841,787,0.753949177,924,0.820840261,860,0.778992239,885,-0.021494187,9
1067,"i think we made the right case and did the right thing . ""","mr blair went on : "" i think we did the right thing in relation to iraq .",2.769,670,0.436591717,420,0.601802189,549,0.64732133,488,0.617035918,502,-0.021832187,7
231,a woman is cutting an onion .,a horse is standing .,0,22,0.110793746,24,0.127640613,57,0.130393334,45,0.128962619,48,-0.022352308,-9
522,a boy climbs a forest hill .,a boy is climbing a hill .,4,1073,0.655822033,1004,0.781251821,1001,0.893113594,998,0.835746953,1019,-0.023301042,-9
619,a kid sits on a soccer ball outside .,a kid sitting on a soccer ball at the park .,4.2,1165,0.724708798,1158,0.807135158,1079,0.925770827,1070,0.858538562,1074,-0.023385609,-97
977,"special police detained khodorkovsky early on saturday in the siberian city of novosibirsk , where his plane had made a refuelling stop .",police detained khodorkovsky early on saturday when his jet made a refueling stop in the siberian city of novosibirsk .,4.8,1269,0.802994637,1281,0.894626577,1268,1.083178029,1313,0.983404396,1300,-0.023977272,-75
266,a man riding on the back of an orange suv .,an african man hanging onto the back of a very full yellow van .,1.8,416,0.338584344,262,0.347725761,209,0.389053688,211,0.36609189,212,-0.024417482,-49
339,a woman stands in front of a building in the snow .,two women and a baby pose in front of a dining room .,0,36,0.26504708,146,0.237402815,121,0.263486097,118,0.247929874,118,-0.024522298,31
414,girl playing in a puddle with her bare feet .,a child is playing with two white and black geese .,0.6,193,0.253619909,136,0.197487758,95,0.238027484,102,0.21666088,99,-0.024947301,-27
94,a man is playing a football .,a man is maneuvering a soccer ball with his feet .,2,444,0.319261584,232,0.397519938,252,0.454521358,265,0.425663508,262,-0.025824238,46
592,people on motorcycles wearing racing gear ride around a racetrack,people on motorcycles ride around a racetrack,3.8,1012,0.656176619,1005,0.830471901,1141,0.860371583,924,0.840110655,1027,-0.026447884,-40
213,a man is stirring juice .,a man is peeling an onion .,0.75,211,0.274958084,164,0.21249819,105,0.257290489,112,0.234536137,111,-0.027124703,-45
291,three men posing in a tent .,three men eating in a kitchen .,1.2,317,0.335965176,258,0.260923361,137,0.31201304,151,0.285666213,142,-0.027137543,-93
529,girls are holding hands in blue clothes,the young people are wearing jeans with their red and green shirts .,1.8,423,0.270737006,152,0.429891202,279,0.453361496,264,0.439798575,270,-0.027568796,97
19,a man is driving a car .,a man is riding a horse .,1.2,308,0.385807569,326,0.331622315,193,0.372501946,198,0.351758337,198,-0.027574009,-87
460,the woman is holding the harness that the brown and white dog is wearing .,a man and woman are looking at artwork that is on easels and clipped to a fencing wall .,0,51,0.205831555,88,0.174755073,82,0.204453368,85,0.188444333,85,-0.028320108,0
40,a man mixes vegetables in a pot .,a person is stirring vegetables in a pot .,3.75,967,0.61814778,915,0.728457345,861,0.841002596,892,0.783981903,894,-0.028610317,8
402,a dog running across the snow with a snowball in it 's mouth .,a tan dog is running through the grass with a yellow toy in its mouth .,2.4,588,0.412228085,367,0.465048408,311,0.535671197,328,0.494405889,322,-0.028618886,-22
294,the train heads down the tracks and along the hedge .,a dog on the floor of a patio looks at a cat on the fence .,0,32,0.126754417,38,0.144147489,64,0.149874742,57,0.146430453,61,-0.028847579,-12
377,a small camouflaged airplane parked in the grass .,a small dog wearing a pink shirt tied to a railing .,0,41,0.160953579,53,0.147320161,68,0.168576176,67,0.157319295,68,-0.028878613,-13
119,a man is dragging a dead deer .,a man is jumping into water from a cliff .,0.8,221,0.227674966,111,0.192514367,92,0.224585155,97,0.208075985,92,-0.028980977,-9
1068,kollar-kotelly has scheduled another antitrust settlement compliance hearing for january .,the judge scheduled another oversight hearing for late january .,2.8,697,0.447824883,449,0.544333886,423,0.638822478,479,0.584939481,442,-0.029803725,86
